scenario,year,revenue_growth,revenue,operating_margin,ebit,tax_rate,nopat,sales_to_capital,reinvestment,fcff,wacc,discount_factor,pv_fcff
Bear,1,0.02,11324652000.0,0.19719707996325184,2233188306.0,0.25,1674891229.5,2.2,100932727.27272727,1573958502.2272727,0.094,1.094,1438718923.4252949
Bear,2,0.02375,11593612485.0,0.1952862933006683,2264073608.16,0.25,1698055206.12,2.2,122254765.9090909,1575800440.210909,0.093,1.195742,1317843180.3941894
Bear,3,0.027500000000000004,11912436828.337502,0.19337550663808475,2303573506.9739437,0.25,1727680130.2304578,2.2,144920156.0625007,1582759974.167957,0.092,1.3057502640000003,1212146011.2283437
Bear,4,0.03125,12284700479.22305,0.1914647199755012,2352086737.2373466,0.25,1764065052.92801,2.2,169210750.40252164,1594854302.5254884,0.091,1.4245735380240003,1119531045.5771074
Bear,5,0.035,12714664995.995855,0.1895539333129177,2410114760.7470875,0.25,1807586070.5603156,2.2,195438416.71491188,1612147653.8454037,0.09,1.5527851564461606,1038229691.4372271
Bear,6,0.033,13134248940.863718,0.18764314665033416,2464551800.152487,0.25,1848413850.114365,2.2,190719974.93993756,1657693875.1744275,0.08900000000000001,1.6909830353698687,980313723.1426098
Bear,7,0.031000000000000003,13541410658.030493,0.18573235998775062,2515078159.0792823,0.25,1886308619.3094616,2.2,185073507.80307943,1701235111.5063822,0.08800000000000001,1.8397895424824173,924690064.9358598
Bear,8,0.029,13934111567.113377,0.18382157332516708,2561390311.1551905,0.25,1921042733.3663929,2.2,178500413.21949264,1742542320.1469002,0.08700000000000001,1.9998512326783875,871335973.2329314
Bear,9,0.027000000000000003,14310332579.425436,0.18191078666258353,2603203856.9264793,0.25,1952402892.6948595,2.2,171009551.05093607,1781393341.6439235,0.08600000000000001,2.171838438688729,820223691.5557398
Bear,10,0.025,14668090893.91107,0.18,2640256360.9039927,0.25,1980192270.6779945,2.2,162617415.6752881,1817574855.0027063,0.085,2.356444705977271,771320816.6490445
Base,1,0.045,11602217000.0,0.20069707996325184,2328531073.0,0.25,1746398304.75,2.8,178434642.85714287,1567963661.892857,0.084,1.084,1446460942.7055876
Base,2,0.0525,12211333392.5,0.2022862933006683,2470185368.2275,0.25,1852639026.170625,2.8,217541568.75,1635097457.420625,0.083,1.173972,1392790848.010536
Base,3,0.06,12944013396.050001,0.20387550663808476,2638967289.04985,0.25,1979225466.7873874,2.8,261671429.83928615,1717554036.9481013,0.082,1.2702377040000001,1352151673.296655
Base,4,0.0675,13817734300.283375,0.20546471997550123,2839056908.703602,0.25,2129292681.5277014,2.8,312043180.08334774,1817249501.4443536,0.081,1.3731269580240002,1323438805.7310216
Base,5,0.075,14854064372.804626,0.2070539333129177,3075592454.0724754,0.25,2306694340.5543566,2.8,370117883.0433042,1936576457.5110524,0.08,1.4829771146659203,1305870763.8568766
Base,6,0.067,15849286685.782536,0.20864314665033415,3306845046.284914,0.25,2480133784.7136855,2.8,355436540.3492533,2124697244.3644323,0.079,1.6001323067245279,1327825977.5366259
Base,7,0.059,16784394600.243704,0.2102323599877506,3528622887.774892,0.25,2646467165.831169,2.8,333967112.30756015,2312500053.523609,0.078,1.724942626649041,1340624330.2224991
Base,8,0.051000000000000004,17640398724.856133,0.21182157332516707,3736617011.982297,0.25,2802462758.986723,2.8,305715758.7901531,2496747000.19657,0.077,1.8577632089010172,1343953302.6781983
Base,9,0.043000000000000003,18398935870.024944,0.21341078666258353,3926531377.776449,0.25,2944898533.332337,2.8,270906123.27457565,2673992410.057761,0.076,1.9989532127774947,1337696346.7505658
Base,10,0.035,19042898625.475815,0.215,4094223204.4773,0.25,3070667403.357975,2.8,229986698.3753109,2840680704.982664,0.075,2.1488747037358067,1321938733.8145666
Bull,1,0.07,11879782000.0,0.20269707996325184,2407997122.0,0.24,1830077812.72,3.2,242869375.0,1587208437.72,0.079,1.079,1470999478.887859
Bull,2,0.07875,12815314832.500002,0.2062862933006683,2643623794.2775,0.24,2009154083.6509001,3.2,292354010.1562506,1716800073.4946494,0.078,1.163162,1475976754.3082128
Bull,3,0.0875,13936654880.34375,0.20987550663808477,2924962503.852281,0.24,2222971502.9277334,3.2,350418764.9511713,1872552737.976562,0.077,1.252725474,1494782996.6268907
Bull,4,0.09625,15278057912.576836,0.21346471997550123,3261326354.077705,0.24,2478608029.099056,3.2,419188447.57283926,2059419581.5262165,0.076,1.347932610024,1527835713.900822
Bull,5,0.105,16882253993.397404,0.21705393331291767,3664359632.454618,0.24,2784913320.6655097,3.2,501311275.2564275,2283602045.4090824,0.07500000000000001,1.4490275557758001,1575954878.3642395
Bull,6,0.093,18452303614.783363,0.22064314665033413,4071374332.5131364,0.24,3094244492.709984,3.2,490640506.6831124,2603603986.0268717,0.07400000000000001,1.5562555949032095,1672992530.631706
Bull,7,0.08099999999999999,19946940207.580814,0.2242323599877506,4472749477.280397,0.24,3399289602.733102,3.2,467073935.24920344,2932215667.483898,0.07300000000000001,1.6698622533311438,1755962602.0856116
Bull,8,0.069,21323279081.90389,0.22782157332516706,4857902988.890967,0.24,3692006271.557135,3.2,430105898.22596073,3261900373.3311744,0.07200000000000001,1.7900923355709863,1822196714.9480727
Bull,9,0.056999999999999995,22538705989.57241,0.23141078666258352,5215699683.403635,0.24,3963931759.3867626,3.2,379820908.6464131,3584110850.74035,0.07100000000000001,1.9171888913965263,1869461515.6723537
Bull,10,0.045,23552947759.10317,0.235,5534942723.389244,0.24,4206556469.7758255,3.2,316950552.97836185,3889605916.7974634,0.07,2.051392113794283,1896081149.304603
