report_date,document,table_index,rows,columns,matched,preview
2022-01-30,lulu-20220130.htm,0,2,6,no,nan nan nan nan nan nan ☑ ☑ ☑ ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934
2022-01-30,lulu-20220130.htm,1,2,6,no,nan nan nan nan nan nan ☐ ☐ ☐ TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934
2022-01-30,lulu-20220130.htm,2,3,9,no,nan nan nan nan nan nan nan nan nan Delaware Delaware Delaware nan nan nan 20-3842867 20-3842867 20-3842867 (State or other jurisdiction of incorporation or organization) (State or other jurisdiction of incorporation or organization) (State or other jurisdiction of incorporation or organization) nan nan nan (I.R.S. Employer Identification Number) (I.R.S. Employer Identification Number) (I.R.S. Employer Identification Number)
2022-01-30,lulu-20220130.htm,3,3,15,no,"nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan Title of each class Title of each class Title of each class nan nan nan Trading symbol(s) Trading symbol(s) Trading symbol(s) nan nan nan Name of each exchange on which registered Name of each exchange on which registered Name of each exchange on which registered Common Stock, par value $0.005 per share Common Stock, par value $0.005 per share Common Stock, par value $0.005 per share nan nan nan LULU LULU LULU nan nan nan Nasdaq Global "
2022-01-30,lulu-20220130.htm,4,4,21,no,nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan Large Accelerated Filer Large Accelerated Filer Large Accelerated Filer nan nan nan ☑ ☑ ☑ nan nan nan Accelerated filer Accelerated filer Accelerated filer nan nan nan ☐ ☐ ☐ Non-accelerated filer Non-accelerated filer Non-accelerated filer nan nan nan ☐ ☐ ☐ nan nan nan Smaller reporting company Smaller reporting company Smaller reporting company nan nan nan ☐ ☐ ☐ Emerging growth company Emerging growth company Em
2022-01-30,lulu-20220130.htm,5,30,9,no,nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan Page Page Page PART I PART I PART I nan nan nan nan nan nan Item 1. Item 1. Item 1. Business Business Business 1 1 1 Item 1A. Item 1A. Item 1A. Risk Factors Risk Factors Risk Factors 8 8 8 Item 2. Item 2. Item 2. Properties Properties Properties 21 21 21 Item 3. Item 3. Item 3. Legal Proceedings Legal Proceedings Legal Proceedings 22 22 22 Item 4. Item 4. Item 4. Mine Safety Disclosures Mine Safety Disclosures Mine Safety Disclosures 22
2022-01-30,lulu-20220130.htm,6,20,15,yes,"nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan Number of company-operated stores by country Number of company-operated stores by country Number of company-operated stores by country nan nan nan January 30, 2022 January 30, 2022 January 30, 2022 nan nan nan January 31, 2021 January 31, 2021 January 31, 2021 United States United States United States nan nan nan 324 324 nan nan nan nan 315 315 nan People's Republic of China(1) People's Republic of China(1) People's Republic of China(1)"
2022-01-30,lulu-20220130.htm,7,4,15,yes,"nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan Location Location Location nan nan nan Use Use Use nan nan nan Approximate Square Feet Approximate Square Feet Approximate Square Feet Columbus, OH Columbus, OH Columbus, OH nan nan nan Distribution Center Distribution Center Distribution Center nan nan nan 310000 310000 nan Vancouver, BC Vancouver, BC Vancouver, BC nan nan nan Executive and Administrative Offices Executive and Administrative Offices Executive and Administrative Offices"
2022-01-30,lulu-20220130.htm,8,6,21,yes,"nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan Location Location Location nan nan nan Use Use Use nan nan nan Approximate Square Feet Approximate Square Feet Approximate Square Feet nan nan nan Lease Renewal Date Lease Renewal Date Lease Renewal Date Toronto, ON Toronto, ON Toronto, ON nan nan nan Distribution Center Distribution Center Distribution Center nan nan nan 250000 250000 nan nan nan nan September 2033 September 2033 September 2033 Toronto, ON Toron"
2022-01-30,lulu-20220130.htm,9,5,39,no,nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 29-Jan-17 29-Jan-17 29-Jan-17 nan nan nan 28-Jan-18 28-Jan-18 28-Jan-18 nan nan nan 03-Feb-19 03-Feb-19 03-Feb-19 nan nan nan 02-Feb-20 02-Feb-20 02-Feb-20 nan nan nan 31-Jan-21 31-Jan-21 31-Jan-21 nan nan nan 30-Jan-22 30-Jan-22 30-Jan-22 lululemon athletica inc. lululemon athletica inc. lululemon athletica inc. nan n
2022-01-30,lulu-20220130.htm,10,6,27,no,nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan Period(1) Period(1) Period(1) nan nan nan Total Number of Shares Purchased(2) Total Number of Shares Purchased(2) Total Number of Shares Purchased(2) nan nan nan Average Price Paid per Share Average Price Paid per Share Average Price Paid per Share nan nan nan Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs(2) Total Number of Shares Purchased as Part of Pub
2022-01-30,lulu-20220130.htm,11,6,27,no,nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan Period(1) Period(1) Period(1) nan nan nan Total Number of Shares Purchased(2) Total Number of Shares Purchased(2) Total Number of Shares Purchased(2) nan nan nan Average Price Paid per Share Average Price Paid per Share Average Price Paid per Share nan nan nan Total Number of Shares Purchased as Part of Publicly Announced Plans or Programs(2) Total Number of Shares Purchased as Part of Pub
