fiscal_year,revenue,revenue_tag,cost_of_revenue,cost_of_revenue_tag,gross_profit,gross_profit_tag,sga,sga_tag,operating_income,operating_income_tag,income_tax_expense,income_tax_expense_tag,net_income,net_income_tag,cash,cash_tag,inventory,inventory_tag,assets,assets_tag,liabilities,liabilities_tag,stockholders_equity,stockholders_equity_tag,long_term_debt_current,long_term_debt_current_tag,long_term_debt_noncurrent,long_term_debt_noncurrent_tag,operating_lease_liability_current,operating_lease_liability_current_tag,operating_lease_liability_noncurrent,operating_lease_liability_noncurrent_tag,diluted_shares,diluted_shares_tag,diluted_eps,diluted_eps_tag,share_repurchases,share_repurchases_tag
2010,353488000,SalesRevenueNet,,,179067000,GrossProfit,118098000,SellingGeneralAndAdministrativeExpense,56564000,OperatingIncomeLoss,16884000,IncomeTaxExpenseBenefit,39363000,NetIncomeLoss,52545000,CashAndCashEquivalentsAtCarryingValue,,,307258000,Assets,74150000,Liabilities,233108000,StockholdersEquity,,,,,,,,,70942000,WeightedAverageNumberOfDilutedSharesOutstanding,0.55,EarningsPerShareDiluted,,
2011,452898000,SalesRevenueNet,,,223086000,GrossProfit,136161000,SellingGeneralAndAdministrativeExpense,86546000,OperatingIncomeLoss,28429000,IncomeTaxExpenseBenefit,58281000,NetIncomeLoss,56797000,CashAndCashEquivalentsAtCarryingValue,,,499302000,Assets,105009000,Liabilities,390389000,StockholdersEquity,,,,,,,,,141898000,WeightedAverageNumberOfDilutedSharesOutstanding,0.41,EarningsPerShareDiluted,,
2012,711704000,SalesRevenueNet,,,394947000,GrossProfit,214556000,SellingGeneralAndAdministrativeExpense,180391000,OperatingIncomeLoss,61080000,IncomeTaxExpenseBenefit,121847000,NetIncomeLoss,159573000,CashAndCashEquivalentsAtCarryingValue,,,734634000,Assets,128453000,Liabilities,601376000,StockholdersEquity,,,,,,,,,143858000,WeightedAverageNumberOfDilutedSharesOutstanding,0.85,EarningsPerShareDiluted,,
2013,1000839000,SalesRevenueNet,,,569351000,GrossProfit,282393000,SellingGeneralAndAdministrativeExpense,286958000,OperatingIncomeLoss,104494000,IncomeTaxExpenseBenefit,184063000,NetIncomeLoss,316286000,CashAndCashEquivalentsAtCarryingValue,155222000,InventoryNet,1051078000,Assets,163779000,Liabilities,887299000,StockholdersEquity,,,,,,,,,145278000,WeightedAverageNumberOfDilutedSharesOutstanding,1.27,EarningsPerShareDiluted,,
2014,1370358000,SalesRevenueNet,,,762826000,GrossProfit,386387000,SellingGeneralAndAdministrativeExpense,376439000,OperatingIncomeLoss,109965000,IncomeTaxExpenseBenefit,270556000,NetIncomeLoss,409437000,CashAndCashEquivalentsAtCarryingValue,188790000,InventoryNet,1252388000,Assets,155706000,Liabilities,1096682000,StockholdersEquity,,,,,,,,,145806000,WeightedAverageNumberOfDilutedSharesOutstanding,1.85,EarningsPerShareDiluted,0,PaymentsForRepurchaseOfCommonStock
2015,1591188000,SalesRevenueNet,,,840076000,GrossProfit,448718000,SellingGeneralAndAdministrativeExpense,391358000,OperatingIncomeLoss,117579000,IncomeTaxExpenseBenefit,279547000,NetIncomeLoss,590179000,CashAndCashEquivalentsAtCarryingValue,208116000,InventoryNet,1296213000,Assets,206645000,Liabilities,1089568000,StockholdersEquity,,,,,,,,,146043000,WeightedAverageNumberOfDilutedSharesOutstanding,1.91,EarningsPerShareDiluted,0,PaymentsForRepurchaseOfCommonStock
2016,1797213000,SalesRevenueNet,,,914180000,GrossProfit,538147000,SellingGeneralAndAdministrativeExpense,376033000,OperatingIncomeLoss,144102000,IncomeTaxExpenseBenefit,239033000,NetIncomeLoss,698649000,CashAndCashEquivalentsAtCarryingValue,284009000,InventoryNet,1314077000,Assets,286595000,Liabilities,1096682000,StockholdersEquity,,,,,,,,,144298000,WeightedAverageNumberOfDilutedSharesOutstanding,1.66,EarningsPerShareDiluted,147431000,PaymentsForRepurchaseOfCommonStock
2017,2060523000,SalesRevenueNet,,,997166000,GrossProfit,628090000,SellingGeneralAndAdministrativeExpense,369076000,OperatingIncomeLoss,102448000,IncomeTaxExpenseBenefit,266047000,NetIncomeLoss,664479000,CashAndCashEquivalentsAtCarryingValue,298432000,InventoryNet,1657541000,Assets,297568000,Liabilities,1089568000,StockholdersEquity,,,,,,,,,140610000,WeightedAverageNumberOfDilutedSharesOutstanding,1.89,EarningsPerShareDiluted,274193000,PaymentsForRepurchaseOfCommonStock
2018,,,1144775000,CostOfGoodsAndServicesSold,1199617000,GrossProfit,778465000,SellingGeneralAndAdministrativeExpense,421152000,OperatingIncomeLoss,119348000,IncomeTaxExpenseBenefit,303381000,NetIncomeLoss,501482000,CashAndCashEquivalentsAtCarryingValue,329562000,InventoryNet,1998483000,Assets,401523000,Liabilities,1027482000,StockholdersEquity,,,,,,,,,137302000,WeightedAverageNumberOfDilutedSharesOutstanding,2.21,EarningsPerShareDiluted,29327000,PaymentsForRepurchaseOfCommonStock
2019,2649181000,RevenueFromContractWithCustomerExcludingAssessedTax,1250391000,CostOfGoodsAndServicesSold,1398790000,GrossProfit,904264000,SellingGeneralAndAdministrativeExpense,456001000,OperatingIncomeLoss,201336000,IncomeTaxExpenseBenefit,258662000,NetIncomeLoss,734846000,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,404842000,InventoryNet,2084711000,Assets,638736000,Liabilities,1359973000,StockholdersEquity,,,,,128497000,OperatingLeaseLiabilityCurrent,611464000,OperatingLeaseLiabilityNoncurrent,136198000,WeightedAverageNumberOfDilutedSharesOutstanding,1.9,EarningsPerShareDiluted,100261000,PaymentsForRepurchaseOfCommonStock
