metric,tag,unit,fiscal_year,fiscal_period,start,end,filed,form,accn,frame,value
assets,Assets,USD,2010,FY,,2010-01-31,2011-03-17,10-K,0000950123-11-026220,CY2009Q4I,307258000
assets,Assets,USD,2010,FY,,2011-01-30,2011-03-17,10-K,0000950123-11-026220,,499302000
assets,Assets,USD,2011,FY,,2011-01-30,2012-03-22,10-K,0001193125-12-126444,CY2010Q4I,499302000
assets,Assets,USD,2011,FY,,2012-01-29,2012-03-22,10-K,0001193125-12-126444,,734634000
assets,Assets,USD,2012,FY,,2012-01-29,2013-03-21,10-K,0001193125-13-118393,CY2011Q4I,734634000
assets,Assets,USD,2012,FY,,2013-02-03,2013-03-21,10-K,0001193125-13-118393,,1051078000
assets,Assets,USD,2013,FY,,2013-02-03,2014-03-27,10-K,0001397187-14-000021,CY2012Q4I,1051078000
assets,Assets,USD,2013,FY,,2014-02-02,2014-03-27,10-K,0001397187-14-000021,,1249688000
assets,Assets,USD,2014,FY,,2014-02-02,2015-03-26,10-K,0001397187-15-000016,CY2013Q4I,1252388000
assets,Assets,USD,2014,FY,,2015-02-01,2015-03-26,10-K,0001397187-15-000016,,1296213000
assets,Assets,USD,2015,FY,,2015-02-01,2016-03-30,10-K,0001397187-16-000089,CY2014Q4I,1296213000
assets,Assets,USD,2015,FY,,2016-01-31,2016-03-30,10-K,0001397187-16-000089,,1314077000
assets,Assets,USD,2016,FY,,2016-01-31,2017-03-29,10-K,0001397187-17-000008,CY2015Q4I,1314077000
assets,Assets,USD,2016,FY,,2017-01-29,2017-03-29,10-K,0001397187-17-000008,,1657541000
assets,Assets,USD,2017,FY,,2017-01-29,2018-03-27,10-K,0001397187-18-000013,CY2016Q4I,1657541000
assets,Assets,USD,2017,FY,,2018-01-28,2018-03-27,10-K,0001397187-18-000013,,1998483000
assets,Assets,USD,2018,FY,,2018-01-28,2019-03-27,10-K,0001397187-19-000011,CY2017Q4I,1998483000
assets,Assets,USD,2018,FY,,2019-02-03,2019-03-27,10-K,0001397187-19-000011,,2084711000
assets,Assets,USD,2019,FY,,2019-02-03,2020-03-26,10-K,0001397187-20-000012,CY2018Q4I,2084711000
assets,Assets,USD,2019,FY,,2020-02-02,2020-03-26,10-K,0001397187-20-000012,,3281354000
assets,Assets,USD,2020,FY,,2020-02-02,2021-03-30,10-K,0001397187-21-000009,CY2019Q4I,3281354000
assets,Assets,USD,2020,FY,,2021-01-31,2021-03-30,10-K,0001397187-21-000009,,4185215000
assets,Assets,USD,2021,FY,,2021-01-31,2022-03-29,10-K,0001397187-22-000014,CY2020Q4I,4185215000
assets,Assets,USD,2021,FY,,2022-01-30,2022-03-29,10-K,0001397187-22-000014,,4942478000
assets,Assets,USD,2022,FY,,2022-01-30,2023-03-28,10-K,0001397187-23-000012,CY2021Q4I,4942478000
assets,Assets,USD,2022,FY,,2023-01-29,2023-03-28,10-K,0001397187-23-000012,,5607038000
assets,Assets,USD,2023,FY,,2023-01-29,2024-03-21,10-K,0001397187-24-000010,CY2022Q4I,5607038000
assets,Assets,USD,2023,FY,,2024-01-28,2024-03-21,10-K,0001397187-24-000010,,7091941000
assets,Assets,USD,2024,FY,,2024-01-28,2025-03-27,10-K,0001397187-25-000013,CY2023Q4I,7091941000
assets,Assets,USD,2024,FY,,2025-02-02,2025-03-27,10-K,0001397187-25-000013,,7603292000
assets,Assets,USD,2025,FY,,2025-02-02,2026-03-17,10-K,0001397187-26-000020,CY2024Q4I,7603292000
assets,Assets,USD,2025,FY,,2026-02-01,2026-03-17,10-K,0001397187-26-000020,,8456743000
cash,CashAndCashEquivalentsAtCarryingValue,USD,2010,FY,,2008-02-03,2011-03-17,10-K,0000950123-11-026220,CY2007Q4I,52545000
cash,CashAndCashEquivalentsAtCarryingValue,USD,2010,FY,,2009-02-01,2011-03-17,10-K,0000950123-11-026220,,56797000
cash,CashAndCashEquivalentsAtCarryingValue,USD,2011,FY,,2009-02-01,2012-03-22,10-K,0001193125-12-126444,CY2008Q4I,56797000
cash,CashAndCashEquivalentsAtCarryingValue,USD,2010,FY,,2010-01-31,2011-03-17,10-K,0000950123-11-026220,,159573000
cash,CashAndCashEquivalentsAtCarryingValue,USD,2011,FY,,2010-01-31,2012-03-22,10-K,0001193125-12-126444,,159573000
cash,CashAndCashEquivalentsAtCarryingValue,USD,2012,FY,,2010-01-31,2013-03-21,10-K,0001193125-13-118393,CY2009Q4I,159573000
cash,CashAndCashEquivalentsAtCarryingValue,USD,2010,FY,,2011-01-30,2011-03-17,10-K,0000950123-11-026220,,316286000
cash,CashAndCashEquivalentsAtCarryingValue,USD,2011,FY,,2011-01-30,2012-03-22,10-K,0001193125-12-126444,,316286000
cash,CashAndCashEquivalentsAtCarryingValue,USD,2012,FY,,2011-01-30,2013-03-21,10-K,0001193125-13-118393,,316286000
cash,CashAndCashEquivalentsAtCarryingValue,USD,2013,FY,,2011-01-30,2014-03-27,10-K,0001397187-14-000021,CY2010Q4I,316286000
cash,CashAndCashEquivalentsAtCarryingValue,USD,2011,FY,,2012-01-29,2012-03-22,10-K,0001193125-12-126444,,409437000
cash,CashAndCashEquivalentsAtCarryingValue,USD,2012,FY,,2012-01-29,2013-03-21,10-K,0001193125-13-118393,,409437000
