filing_date,report_date,form,accession_number,primary_document,description
2026-06-04,2026-05-03,10-Q,0001397187-26-000078,lulu-20260503.htm,10-Q
2026-06-04,2026-06-04,8-K,0001397187-26-000077,lulu-20260604.htm,8-K
2026-05-27,2026-05-26,8-K,0001213900-26-061531,ea0292191-8k_lululemon.htm,CURRENT REPORT
2026-04-28,2026-04-26,8-K,0001213900-26-048264,ea0287949-8k_lululemon.htm,CURRENT REPORT
2026-04-22,2026-04-21,8-K,0001397187-26-000070,lulu-20260421.htm,8-K
2026-03-17,2026-02-01,10-K,0001397187-26-000020,lulu-20260201.htm,10-K
2026-03-17,2026-03-17,8-K,0001397187-26-000019,lulu-20260317.htm,8-K
2026-03-17,2026-03-13,8-K,0001397187-26-000017,lulu-20260313.htm,8-K
2026-01-12,2026-01-12,8-K,0001397187-26-000005,lulu-20260112.htm,8-K
2025-12-29,2025-12-29,8-K,0001213900-25-126119,ea0271178-8k_lulu.htm,CURRENT REPORT
2025-12-11,2025-11-02,10-Q,0001397187-25-000055,lulu-20251102.htm,10-Q
2025-12-11,2025-12-03,8-K,0001397187-25-000054,lulu-20251203.htm,8-K
2025-11-21,2025-11-17,8-K,0001397187-25-000047,lulu-20251117.htm,8-K
2025-10-21,2025-10-15,8-K,0001397187-25-000045,lulu-20251015.htm,8-K
2025-09-04,2025-08-03,10-Q,0001397187-25-000039,lulu-20250803.htm,10-Q
2025-09-04,2025-09-04,8-K,0001397187-25-000038,lulu-20250904.htm,8-K
2025-06-17,2025-06-11,8-K,0001397187-25-000029,lulu-20250611.htm,VOTING RESULTS
2025-06-05,2025-05-04,10-Q,0001397187-25-000027,lulu-20250504.htm,10-Q
2025-06-05,2025-06-05,8-K,0001397187-25-000026,lulu-20250605.htm,8-K
2025-04-29,2025-06-11,DEF 14A,0001397187-25-000017,lulu-20250429.htm,DEF 14A
2025-03-27,2025-02-02,10-K,0001397187-25-000013,lulu-20250202.htm,10-K
2025-03-27,2025-03-27,8-K,0001397187-25-000012,lulu-20250327.htm,8-K
2025-01-13,2025-01-13,8-K,0001397187-25-000004,lulu-20250113.htm,8-K
2024-12-05,2024-10-27,10-Q,0001397187-24-000041,lulu-20241027.htm,10-Q
2024-12-05,2024-12-03,8-K,0001397187-24-000040,lulu-20241203.htm,8-K
2024-08-29,2024-07-28,10-Q,0001397187-24-000034,lulu-20240728.htm,10-Q
2024-08-29,2024-08-29,8-K,0001397187-24-000033,lulu-20240829.htm,8-K
2024-06-12,2024-06-06,8-K,0001397187-24-000027,lulu-20240606.htm,VOTING RESULTS
2024-06-05,2024-04-28,10-Q,0001397187-24-000024,lulu-20240428.htm,10-Q
2024-06-05,2024-05-29,8-K,0001397187-24-000023,lulu-20240529.htm,8-K
2024-05-21,2024-05-15,8-K,0001397187-24-000016,lulu-20240515.htm,8-K
2024-04-25,2024-06-06,DEF 14A,0001397187-24-000013,lulu-20240424.htm,DEF 14A
2024-03-21,2024-01-28,10-K,0001397187-24-000010,lulu-20240128.htm,10-K
2024-03-21,2024-03-21,8-K,0001397187-24-000009,lulu-20240321.htm,8-K
2024-01-08,2024-01-08,8-K,0001397187-24-000002,lulu-20240108.htm,8-K
2023-12-07,2023-10-29,10-Q,0001397187-23-000052,lulu-20231029.htm,10-Q
2023-12-07,2023-11-29,8-K,0001397187-23-000051,lulu-20231129.htm,8-K
2023-09-13,2023-09-07,8-K,0001397187-23-000046,lulu-20230907.htm,8-K
2023-08-31,2023-07-30,10-Q,0001397187-23-000044,lulu-20230730.htm,10-Q
2023-08-31,2023-08-31,8-K,0001397187-23-000043,lulu-20230831.htm,8-K
2023-06-13,2023-06-07,8-K,0001397187-23-000034,lulu-20230607.htm,VOTING RESULTS
2023-06-01,2023-04-30,10-Q,0001397187-23-000027,lulu-20230430.htm,10-Q
2023-06-01,2023-06-01,8-K,0001397187-23-000026,lulu-20230601.htm,8-K
2023-04-27,,DEF 14A,0001397187-23-000017,lulu-20230427.htm,DEF 14A
2023-03-28,2023-01-29,10-K,0001397187-23-000012,lulu-20230129.htm,10-K
2023-03-28,2023-03-28,8-K,0001397187-23-000011,lulu-20230328.htm,8-K
2023-02-24,2023-02-20,8-K,0001397187-23-000004,lulu-20230220.htm,KOURTNEY GIBSON NOT STANDING FOR RE-ELECTION
2023-01-09,2023-01-09,8-K,0001397187-23-000002,lulu-20230109.htm,8-K
2022-12-08,2022-10-30,10-Q,0001397187-22-000049,lulu-20221030.htm,10-Q
2022-12-08,2022-12-08,8-K,0001397187-22-000048,lulu-20221208.htm,8-K
2022-11-08,2022-11-03,8-K,0001397187-22-000042,lulu-20221103.htm,8-K
2022-09-01,2022-07-31,10-Q,0001397187-22-000040,lulu-20220731.htm,10-Q
2022-09-01,2022-09-01,8-K,0001397187-22-000039,lulu-20220901.htm,8-K
2022-06-14,2022-06-08,8-K,0001397187-22-000033,lulu-20220608.htm,VOTING RESULTS
2022-06-02,2022-05-01,10-Q,0001397187-22-000031,lulu-20220501.htm,10-Q
2022-06-02,2022-06-02,8-K,0001397187-22-000030,lulu-20220602.htm,8-K
2022-04-27,2022-06-08,DEF 14A,0001397187-22-000021,lulu-2022def14a.htm,DEF 14A
2022-04-21,2022-04-20,8-K,0001397187-22-000016,lulu-20220420.htm,8-K
2022-03-29,2022-01-30,10-K,0001397187-22-000014,lulu-20220130.htm,10-K
2022-03-29,2022-03-23,8-K,0001397187-22-000013,lulu-20220323.htm,8-K
2022-01-27,2022-01-25,8-K,0001397187-22-000008,lulu-20220125.htm,8-K
2022-01-10,2022-01-10,8-K,0001397187-22-000002,lulu-20220110.htm,8-K
2021-12-17,2021-12-14,8-K,0001397187-21-000041,lulu-20211214.htm,8-K
2021-12-09,2021-10-31,10-Q,0001397187-21-000039,lulu-20211031.htm,10-Q
2021-12-09,2021-12-09,8-K,0001397187-21-000038,lulu-20211209.htm,8-K
2021-12-03,2021-11-29,8-K,0001397187-21-000033,lulu-20211129.htm,STEPHANIE FERRIS NOT STANDING FOR RE-ELECTION
2021-10-04,2021-10-01,8-K,0001397187-21-000030,lulu-20211001.htm,SHARE REPURCHASE PROGRAM
2021-09-08,2021-08-01,10-Q,0001397187-21-000027,lulu-20210801.htm,10-Q
2021-09-08,2021-09-08,8-K,0001397187-21-000026,lulu-20210908.htm,8-K
2021-06-14,2021-06-09,8-K,0001397187-21-000020,lulu-20210609.htm,VOTING RESULTS
2021-06-03,2021-05-02,10-Q,0001397187-21-000018,lulu-20210502.htm,10-Q
2021-06-03,2021-06-03,8-K,0001397187-21-000017,lulu-20210603.htm,8-K
2021-04-27,2021-06-09,DEF 14A,0001397187-21-000012,lulu-2021def14a.htm,DEF 14A
2021-03-30,2021-01-31,10-K,0001397187-21-000009,lulu-20210131.htm,10-K
2021-03-30,2021-03-30,8-K,0001397187-21-000008,lulu-20210330.htm,8-K
2021-01-11,2021-01-11,8-K,0001397187-21-000002,lulu-20210111.htm,8-K
2020-12-10,2020-11-01,10-Q,0001397187-20-000057,lulu-20201101.htm,10-Q
2020-12-10,2020-12-10,8-K,0001397187-20-000056,lulu-20201210.htm,8-K
2020-11-20,2020-11-18,8-K,0001397187-20-000050,lulu-20201118.htm,8-K
2020-10-30,2020-10-27,8-K,0001397187-20-000048,lulu-20201027.htm,8-K
2020-09-22,2020-09-22,8-K,0001397187-20-000045,lulu-20200922.htm,SHARE REPURCHASE PROGRAM
2020-09-08,2020-08-02,10-Q,0001397187-20-000043,lulu-20200802.htm,10-Q
2020-09-08,2020-09-08,8-K,0001397187-20-000042,lulu-20200908.htm,8-K
2020-07-08,2020-07-07,8-K,0001397187-20-000036,lulu-20200707x8k.htm,COMPLETION OF ACQUISITION
2020-07-01,2020-06-26,8-K,0001397187-20-000034,lulu-20200626x8k.htm,8-K
