year5_revenue_growth,target_operating_margin,fair_value_per_share
0.025,0.17,185.54518903605776
0.025,0.185,198.9781499033007
0.025,0.2,212.4111107705437
0.025,0.215,225.84407163778667
0.025,0.23,239.2770325050297
0.04,0.17,193.11317118814
0.04,0.185,207.38106845784145
0.04,0.2,221.64896572754296
0.04,0.215,235.9168629972445
0.04,0.23,250.18476026694603
0.055,0.17,201.07800565103918
0.055,0.185,216.2265450273394
0.055,0.2,231.37508440363968
0.055,0.215,246.5236237799399
0.055,0.23,261.6721631562402
0.07,0.17,209.45740392517564
0.07,0.185,225.5343727226103
0.07,0.2,241.61134152004493
0.07,0.215,257.6883103174796
0.07,0.23,273.76527911491434
0.085,0.17,218.2697162340459
0.085,0.185,235.3250593915903
0.085,0.2,252.38040254913463
0.085,0.215,269.43574570667903
0.085,0.23,286.4910888642234
