terminal_wacc,terminal_growth,fair_value_per_share
0.075,0.01,231.27126682188083
0.075,0.015,243.05421168608277
0.075,0.02,256.9795101619579
0.075,0.025,273.68986833300795
0.075,0.03,294.113639430958
0.08,0.01,217.77374223839666
0.08,0.015,227.66574492405996
0.08,0.02,239.20641472400058
0.08,0.025,252.84538812393026
0.08,0.03,269.21215620384595
0.0825,0.01,211.71406318350142
0.0825,0.015,220.8163878224543
0.0825,0.02,231.37508440363968
0.0825,0.025,243.77007604242243
0.0825,0.03,258.5260184695448
0.085,0.01,206.05258496233287
0.085,0.015,214.44988829361395
0.085,0.02,224.13908444509215
0.085,0.025,235.44314662181668
0.085,0.03,248.802492830673
0.09,0.01,195.7750822735496
0.09,0.015,202.97251471683057
0.09,0.02,211.19815179486602
0.09,0.025,220.68927150029145
0.09,0.03,231.76224448995455
0.095,0.01,186.68679932128595
0.095,0.015,192.90802058743304
0.095,0.02,199.95873802239979
0.095,0.025,208.0167008052189
0.095,0.03,217.31435017001024
