period_end,revenue,revenue_filed,revenue_tag,cost_of_revenue,cost_of_revenue_filed,cost_of_revenue_tag,gross_profit,gross_profit_filed,gross_profit_tag,sga,sga_filed,sga_tag,operating_income,operating_income_filed,operating_income_tag,income_tax_expense,income_tax_expense_filed,income_tax_expense_tag,net_income,net_income_filed,net_income_tag,cash,cash_filed,cash_tag,inventory,inventory_filed,inventory_tag,assets,assets_filed,assets_tag,liabilities,liabilities_filed,liabilities_tag,stockholders_equity,stockholders_equity_filed,stockholders_equity_tag,long_term_debt_current,long_term_debt_current_filed,long_term_debt_current_tag,long_term_debt_noncurrent,long_term_debt_noncurrent_filed,long_term_debt_noncurrent_tag,operating_lease_liability_current,operating_lease_liability_current_filed,operating_lease_liability_current_tag,operating_lease_liability_noncurrent,operating_lease_liability_noncurrent_filed,operating_lease_liability_noncurrent_tag,diluted_shares,diluted_shares_filed,diluted_shares_tag,diluted_eps,diluted_eps_filed,diluted_eps_tag,share_repurchases,share_repurchases_filed,share_repurchases_tag
2009-02-01,353488000,2011-03-17,SalesRevenueNet,,,,179067000,2011-03-17,GrossProfit,118098000,2011-03-17,SellingGeneralAndAdministrativeExpense,56564000,2011-03-17,OperatingIncomeLoss,16884000,2011-03-17,IncomeTaxExpenseBenefit,39363000,2011-03-17,NetIncomeLoss,56797000,2012-03-22,CashAndCashEquivalentsAtCarryingValue,,,,,,,,,,,,,,,,,,,,,,,,,70942000,2011-03-17,WeightedAverageNumberOfDilutedSharesOutstanding,0.55,2011-03-17,EarningsPerShareDiluted,,,
2010-01-31,452898000,2012-03-22,SalesRevenueNet,,,,223086000,2012-03-22,GrossProfit,136161000,2012-03-22,SellingGeneralAndAdministrativeExpense,86546000,2012-03-22,OperatingIncomeLoss,28429000,2012-03-22,IncomeTaxExpenseBenefit,58281000,2012-03-22,NetIncomeLoss,159573000,2013-03-21,CashAndCashEquivalentsAtCarryingValue,,,,307258000,2011-03-17,Assets,74150000,2011-03-17,Liabilities,233108000,2011-03-17,StockholdersEquity,,,,,,,,,,,,,141898000,2012-03-22,WeightedAverageNumberOfDilutedSharesOutstanding,0.41,2012-03-22,EarningsPerShareDiluted,,,
2011-01-30,711704000,2013-03-21,SalesRevenueNet,,,,394947000,2013-03-21,GrossProfit,214556000,2013-03-21,SellingGeneralAndAdministrativeExpense,180391000,2013-03-21,OperatingIncomeLoss,61080000,2013-03-21,IncomeTaxExpenseBenefit,121847000,2013-03-21,NetIncomeLoss,316286000,2014-03-27,CashAndCashEquivalentsAtCarryingValue,,,,499302000,2012-03-22,Assets,105009000,2012-03-22,Liabilities,390389000,2012-03-22,StockholdersEquity,,,,,,,,,,,,,143858000,2013-03-21,WeightedAverageNumberOfDilutedSharesOutstanding,0.85,2013-03-21,EarningsPerShareDiluted,,,
2012-01-29,1000839000,2014-03-27,SalesRevenueNet,,,,569351000,2014-03-27,GrossProfit,282393000,2014-03-27,SellingGeneralAndAdministrativeExpense,286958000,2014-03-27,OperatingIncomeLoss,104494000,2014-03-27,IncomeTaxExpenseBenefit,184063000,2014-03-27,NetIncomeLoss,409437000,2015-03-26,CashAndCashEquivalentsAtCarryingValue,,,,734634000,2013-03-21,Assets,128453000,2013-03-21,Liabilities,601376000,2013-03-21,StockholdersEquity,,,,,,,,,,,,,145278000,2014-03-27,WeightedAverageNumberOfDilutedSharesOutstanding,1.27,2014-03-27,EarningsPerShareDiluted,,,
2013-02-03,1370358000,2015-03-26,SalesRevenueNet,,,,762826000,2015-03-26,GrossProfit,386387000,2015-03-26,SellingGeneralAndAdministrativeExpense,376439000,2015-03-26,OperatingIncomeLoss,109965000,2015-03-26,IncomeTaxExpenseBenefit,270556000,2015-03-26,NetIncomeLoss,590179000,2016-03-30,CashAndCashEquivalentsAtCarryingValue,155222000,2014-03-27,InventoryNet,1051078000,2014-03-27,Assets,163779000,2014-03-27,Liabilities,887299000,2014-03-27,StockholdersEquity,,,,,,,,,,,,,145806000,2015-03-26,WeightedAverageNumberOfDilutedSharesOutstanding,1.85,2015-03-26,EarningsPerShareDiluted,0,2015-03-26,PaymentsForRepurchaseOfCommonStock
2014-02-02,1591188000,2016-03-30,SalesRevenueNet,,,,840076000,2016-03-30,GrossProfit,448718000,2016-03-30,SellingGeneralAndAdministrativeExpense,391358000,2016-03-30,OperatingIncomeLoss,117579000,2016-03-30,IncomeTaxExpenseBenefit,279547000,2016-03-30,NetIncomeLoss,698649000,2017-03-29,CashAndCashEquivalentsAtCarryingValue,188790000,2015-03-26,InventoryNet,1252388000,2015-03-26,Assets,155706000,2015-03-26,Liabilities,1096682000,2017-03-29,StockholdersEquity,,,,,,,,,,,,,146043000,2016-03-30,WeightedAverageNumberOfDilutedSharesOutstanding,1.91,2016-03-30,EarningsPerShareDiluted,0,2016-03-30,PaymentsForRepurchaseOfCommonStock
2015-02-01,1797213000,2017-03-29,SalesRevenueNet,,,,914180000,2017-03-29,GrossProfit,538147000,2017-03-29,SellingGeneralAndAdministrativeExpense,376033000,2017-03-29,OperatingIncomeLoss,144102000,2017-03-29,IncomeTaxExpenseBenefit,239033000,2017-03-29,NetIncomeLoss,664479000,2018-03-27,CashAndCashEquivalentsAtCarryingValue,208116000,2016-03-30,InventoryNet,1296213000,2016-03-30,Assets,206645000,2016-03-30,Liabilities,1089568000,2018-03-27,StockholdersEquity,,,,,,,,,,,,,144298000,2017-03-29,WeightedAverageNumberOfDilutedSharesOutstanding,1.66,2017-03-29,EarningsPerShareDiluted,147431000,2017-03-29,PaymentsForRepurchaseOfCommonStock
2016-01-31,2060523000,2018-03-27,SalesRevenueNet,,,,997166000,2018-03-27,GrossProfit,628090000,2018-03-27,SellingGeneralAndAdministrativeExpense,369076000,2018-03-27,OperatingIncomeLoss,102448000,2018-03-27,IncomeTaxExpenseBenefit,266047000,2018-03-27,NetIncomeLoss,501482000,2019-03-27,CashAndCashEquivalentsAtCarryingValue,284009000,2017-03-29,InventoryNet,1314077000,2017-03-29,Assets,286595000,2017-03-29,Liabilities,1027482000,2019-03-27,StockholdersEquity,,,,,,,,,,,,,140610000,2018-03-27,WeightedAverageNumberOfDilutedSharesOutstanding,1.89,2018-03-27,EarningsPerShareDiluted,274193000,2018-03-27,PaymentsForRepurchaseOfCommonStock
2017-01-29,2344392000,2018-03-27,SalesRevenueNet,1144775000,2019-03-27,CostOfGoodsAndServicesSold,1199617000,2019-03-27,GrossProfit,778465000,2019-03-27,SellingGeneralAndAdministrativeExpense,421152000,2019-03-27,OperatingIncomeLoss,119348000,2019-03-27,IncomeTaxExpenseBenefit,303381000,2019-03-27,NetIncomeLoss,734846000,2020-03-26,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,298432000,2018-03-27,InventoryNet,1657541000,2018-03-27,Assets,297568000,2018-03-27,Liabilities,1359973000,2020-03-26,StockholdersEquity,,,,,,,,,,,,,137302000,2019-03-27,WeightedAverageNumberOfDilutedSharesOutstanding,2.21,2019-03-27,EarningsPerShareDiluted,29327000,2019-03-27,PaymentsForRepurchaseOfCommonStock
2018-01-28,2649181000,2020-03-26,RevenueFromContractWithCustomerExcludingAssessedTax,1250391000,2020-03-26,CostOfGoodsAndServicesSold,1398790000,2020-03-26,GrossProfit,904264000,2020-03-26,SellingGeneralAndAdministrativeExpense,456001000,2020-03-26,OperatingIncomeLoss,201336000,2020-03-26,IncomeTaxExpenseBenefit,258662000,2020-03-26,NetIncomeLoss,990501000,2021-03-30,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,329562000,2019-03-27,InventoryNet,1998483000,2019-03-27,Assets,401523000,2019-03-27,Liabilities,1596960000,2021-03-30,StockholdersEquity,,,,,,,,,,,,,136198000,2020-03-26,WeightedAverageNumberOfDilutedSharesOutstanding,1.9,2020-03-26,EarningsPerShareDiluted,100261000,2020-03-26,PaymentsForRepurchaseOfCommonStock
