scenario,year,revenue_growth,revenue,operating_margin,ebit,tax_rate,nopat,sales_to_capital,reinvestment,fcff,wacc,discount_factor,pv_fcff
Bear,1,0.005,11158112999.999998,0.19719707996325184,2200347301.4999995,0.25,1650260476.1249995,2.0,27756499.999999046,1622503976.1250005,0.09875,1.09875,1476681662.002276
Bear,2,0.01125,11283641771.249998,0.1952862933006683,2203540576.4399996,0.25,1652655432.3299997,2.0,62764385.625,1589891046.7049997,0.0975,1.2058781249999997,1318450856.470259
Bear,3,0.017499999999999998,11481105502.246874,0.19337550663808475,2220164593.262292,0.25,1665123444.946719,2.0,98731865.49843788,1566391579.448281,0.09625,1.3219438945312496,1184915325.021196
Bear,4,0.02375,11753781757.925236,0.1914647199755012,2250434532.9343095,0.25,1687825899.7007322,2.0,136338127.83918095,1551487771.8615513,0.095,1.4475285645117182,1071818415.123919
Bear,5,0.03,12106395210.662992,0.1895539333129177,2294814830.421839,0.25,1721111122.8163795,2.0,176306726.36887836,1544804396.4475012,0.09375,1.5832343674346918,975726922.1931694
Bear,6,0.028,12445374276.561556,0.18764314665033416,2335289190.4951363,0.25,1751466892.8713522,2.0,169489532.9492817,1581977359.9220705,0.0925,1.7296835464224007,914605080.9086789
Bear,7,0.026,12768954007.752157,0.18573235998775062,2371607962.4348545,0.25,1778705971.8261409,2.0,161789865.59530067,1616916106.2308402,0.09125,1.887517170033445,856636502.1210324
Bear,8,0.024,13075408903.93821,0.18382157332516708,2403542236.5918202,0.25,1802656677.4438653,2.0,153227448.09302616,1649429229.3508391,0.09,2.057393715336455,801708111.1191691
Bear,9,0.022,13363067899.82485,0.18191078666258353,2430886193.8826566,0.25,1823164645.4119925,2.0,143829497.94332027,1679335147.4686723,0.08875,2.2399874075725656,749707405.403916
Bear,10,0.02,13630329257.821348,0.18,2453459266.4078426,0.25,1840094449.805882,2.0,133630678.99824905,1706463770.807633,0.0875,2.435986305735165,700522727.4020463
Base,1,0.025,11380164999.999998,0.19919707996325184,2266895637.4999995,0.25,1700171728.1249995,2.3,120680434.78260787,1579491293.3423917,0.0915,1.0915,1447083182.1735153
Base,2,0.0325,11750020362.499998,0.1992862933006683,2341618004.2499995,0.25,1756213503.1874995,2.3,160806679.3478261,1595406823.8396735,0.0905,1.1902807499999999,1340361779.2186203
Base,3,0.04,12220021176.999998,0.19937550663808476,2436372913.2924995,0.25,1827279684.9693747,2.3,204348180.2173913,1622931504.7519834,0.0895,1.2968108771249998,1251478942.2108994
Base,4,0.0475,12800472182.9075,0.19946471997550122,2553242599.517837,0.25,1914931949.6383777,2.3,252370002.56847882,1662561947.0698988,0.0885,1.4115786397505623,1177803276.5951228
Base,5,0.055,13504498152.967411,0.1995539333129177,2694875723.841679,0.25,2021156792.8812594,2.3,306098247.85213554,1715058545.0291238,0.0875,1.5350917707287364,1117235189.2779374
Base,6,0.0495,14172970811.539299,0.19964314665033417,2829536490.199046,0.25,2122152367.6492846,2.3,290640286.3356035,1831512081.3136811,0.08650000000000001,1.6678772088967722,1098109663.9153347
Base,7,0.044,14796581527.247028,0.19973235998775063,2955356148.1882043,0.25,2216517111.1411533,2.3,271135093.7859693,1945382017.355184,0.0855,1.810480710257446,1074511319.7469833
Base,8,0.0385,15366249916.046038,0.1998215733251671,3070508234.332036,0.25,2302881175.7490273,2.3,247681908.17348233,2055199267.5755448,0.0845,1.9634663302742004,1046719893.2250261
Base,9,0.033,15873336163.275557,0.19991078666258355,3173251119.360052,0.25,2379938339.520039,2.3,220472281.40413865,2159466058.1159005,0.0835,2.127415768852096,1015065362.2733549
Base,10,0.027499999999999997,16309852907.765636,0.2,3261970581.5531273,0.25,2446477936.1648455,2.3,189789888.9087304,2256688047.256115,0.0825,2.3029275697823937,979921416.9246982
Bull,1,0.055,11713243000.0,0.20169707996325184,2362526910.0,0.24,1795520451.6,2.8,218086785.71428573,1577433665.885714,0.08175,1.08175,1458223864.9278615
Bull,2,0.0625,12445320687.5,0.2042862933006683,2542408432.1875,0.24,1932230408.4625,2.8,261456316.96428573,1670774091.4982142,0.081,1.16937175,1428779249.6254628
Bull,3,0.07,13316493135.625,0.20687550663808477,2754856264.075,0.24,2093690760.6969998,2.8,311133017.1875,1782557743.5094998,0.08025,1.2632138329375,1411129055.928962
Bull,4,0.07750000000000001,14348521353.635939,0.20946471997550123,3005509007.4018517,0.24,2284186845.625407,2.8,368581506.43247813,1915605339.192929,0.0795,1.3636393326560312,1404774190.153202
Bull,5,0.085,15568145668.694992,0.2120539333129177,3301286523.4352365,0.24,2508977757.8107796,2.8,435580112.5210905,2073397645.289689,0.07875,1.4710259301026938,1409490888.5426261
Bull,6,0.07600000000000001,16751324739.515812,0.21464314665033415,3595557052.651263,0.24,2732623360.0149603,2.8,422563953.86457855,2310059406.1503816,0.078,1.585765952650704,1456746755.275567
Bull,7,0.067,17873663497.06337,0.21723235998775062,3882738103.0939875,0.24,2950880958.3514304,2.8,400835270.55269927,2550045687.7987313,0.07725,1.708266372492971,1492768182.3282065
Bull,8,0.058,18910335979.893047,0.21982157332516708,4156899807.207605,0.24,3159243853.47778,2.8,370240172.4391706,2789003681.0386095,0.0765,1.8389487499886832,1516629368.3039143
Bull,9,0.049,19836942442.907806,0.22241078666258354,4411949973.707517,0.24,3353081980.0177126,2.8,330930879.6481283,3022151100.369584,0.07575,1.9782491178003259,1527689851.1801202
Bull,10,0.04,20630420140.62412,0.225,4641844531.640427,0.24,3527801844.0467243,2.8,283384892.04154015,3244416952.005184,0.075,2.12661780163535,1525622963.1437564
