period_end,revenue,revenue_growth,gross_margin,operating_margin,net_margin,effective_tax_rate,inventory_to_revenue,cash,lease_liabilities,stockholders_equity,invested_capital,sales_to_invested_capital,roic_after_tax_proxy,diluted_shares,diluted_eps
2009-02-01,353488000,,0.5065716516543701,0.16001674738604987,0.11135597247997103,0.3001760093871673,,56797000,0.0,,-56797000.0,-6.223708998714721,-0.6969530821174406,70942000,0.55
2010-01-31,452898000,0.28122595392205674,0.49257448697057615,0.19109380037006124,0.12868460448047905,0.3278629915811325,,159573000,0.0,233108000.0,73535000.0,6.158944720201265,0.7910623448782117,141898000,0.41
2011-01-30,711704000,0.571444342876321,0.5549315445747108,0.2534635185414161,0.1712046019131549,0.33390368835655754,,316286000,0.0,390389000.0,74103000.0,9.604253538993023,1.6214968321616157,143858000,0.85
2012-01-29,1000839000,0.40625737666220796,0.5688737149531543,0.28671744406442995,0.18390870060019643,0.3621260270934339,,409437000,0.0,601376000.0,191939000.0,5.214359770552102,0.9536521473870468,145278000,1.27
2013-02-03,1370358000,0.3692092334531327,0.5566618358122476,0.27470120946497195,0.1974345390036764,0.28898536480246817,0.11327113060966551,590179000,0.0,887299000.0,297120000.0,4.612136510500807,0.9008267308128827,145806000,1.85
2014-02-02,1591188000,0.16114767090059678,0.527955213337456,0.24595333800908503,0.1756844571477412,0.2960747974194588,0.11864719945097625,698649000,0.0,1096682000.0,398033000.0,3.9976283373489134,0.6921204006489798,146043000,1.91
2015-02-01,1797213000,0.12947872910052105,0.5086653613122095,0.20923118183543074,0.13300204260708107,0.37611285839195063,0.11579929590983373,664479000,0.0,1089568000.0,425089000.0,4.227851108826623,0.5518894949535265,144298000,1.66
2016-01-31,2060523000,0.1465101799285895,0.48393830110122527,0.17911763178571655,0.12911624864172833,0.278017340805167,0.13783345296315547,501482000,0.0,1027482000.0,526000000.0,3.9173441064638785,0.5065902508079699,140610000,1.89
2017-01-29,2344392000,0.1377655090479455,0.511696422782538,0.17964231237779346,0.12940711280366082,0.2823274485545113,0.12729611771410243,734846000,0.0,1359973000.0,625127000.0,3.7502651461223078,0.4835005213122621,137302000,2.21
2018-01-28,2649181000,0.13000769495886355,0.5280084675226041,0.17212904667518,0.097638477703109,0.4376888595167805,0.12440146596249935,990501000,0.0,1596960000.0,606459000.0,4.368277163006898,0.42280589845560634,136198000,1.9
2019-02-03,3288319000,0.24125871354203432,0.5523451343984571,0.21464949112297196,0.1471271491604069,0.32359175113596644,0.12311518438448338,881320000,0.0,1445975000.0,564655000.0,5.8235896255235495,0.8455309751001833,133971000,3.61
2020-02-02,3979296000,0.2101307689430374,0.5587385306345645,0.22343399435478034,0.16223874775839747,0.2805872120687369,0.1303026967584216,1093505000,739961000.0,1952218000.0,1598674000.0,2.489122860570698,0.40010477675721584,130955000,4.93
2021-01-31,4401879000,0.10619541748088102,0.5597589120464238,0.18628090413207632,0.13378673062117336,0.2812436687618234,0.1470349366713624,1150517000,798681000.0,2558566000.0,2206730000.0,1.9947519633122313,0.26707849579543824,130871000,4.5
2022-01-30,6256617000,0.4213514274245158,0.5767597728932424,0.21311117493687085,0.15588647986603624,0.26880225869257024,0.15447341590511293,1259871000,881052000.0,2740046000.0,2361227000.0,2.6497312626020286,0.4128981094833186,130295000,7.49
2023-01-29,8110518000,0.2963104502001641,0.5538906392908567,0.16378830550650403,0.10539400812623806,0.3585332413807594,0.17845555610628075,1154867000,1070334000.0,3148799000.0,3064266000.0,2.6468061193120964,0.2780860323104679,128017000,6.68
2024-01-28,9619278000,0.18602510961691965,0.583141998806979,0.22170853155507098,0.16115450660642097,0.28750973808850805,0.13759889255721688,2243971000,1403282000.0,4232081000.0,3391392000.0,2.8363804597050413,0.4480493206955589,127060000,12.2
2025-02-02,10588126000,0.1007194095024595,0.5922493744407651,0.23665160388155562,0.1713821690448338,0.29558937873363256,0.13619794475434086,1984336000,1575791000.0,4324047000.0,3915502000.0,2.7041554314108383,0.4507824489619142,123935000,14.64
2026-02-01,11102600000,0.048589712664922846,0.566005440167168,0.19910786662583538,0.14223542233350747,0.2946823244826744,0.15318510979410227,1807202000,1798441000.0,4961840000.0,4953079000.0,2.2415552023297023,0.3147912305181752,119068000,13.26
